platform,flush_type,operation,access_pattern,io_size(B),blcok_size(B),data_space_size(MB),count,throughput(op/s),bandwidth(MB),avg_latency(ns)
PMEM,nt,write,sequential,8,131072,14336,114688,1369919,10,729.97
PMEM,nt,write,sequential,8,135168,14336,111212,1624325,12,615.64
PMEM,nt,write,sequential,8,1048576,14336,14336,1383107,10,723.01
PMEM,nt,write,sequential,8,1052672,14336,14280,1713801,13,583.498
PMEM,nt,write,sequential,16,131072,14336,114688,1373451,20,728.093
PMEM,nt,write,sequential,16,135168,14336,111212,1651095,25,605.658
PMEM,nt,write,sequential,16,1048576,14336,14336,1379738,21,724.775
PMEM,nt,write,sequential,16,1052672,14336,14280,1689709,25,591.818
PMEM,nt,write,sequential,32,131072,14336,114688,1370271,41,729.783
PMEM,nt,write,sequential,32,135168,14336,111212,1595401,48,626.801
PMEM,nt,write,sequential,32,1048576,14336,14336,1374913,41,727.318
PMEM,nt,write,sequential,32,1052672,14336,14280,1668505,50,599.339
PMEM,nt,write,sequential,64,131072,14336,114688,1926099,117,519.184
PMEM,nt,write,sequential,64,135168,14336,111212,3069041,187,325.835
PMEM,nt,write,sequential,64,1048576,14336,14336,1896776,115,527.21
PMEM,nt,write,sequential,64,1052672,14336,14280,3210822,195,311.447
PMEM,nt,write,sequential,128,131072,14336,114688,1899545,231,526.442
PMEM,nt,write,sequential,128,135168,14336,111212,2949935,360,338.99
PMEM,nt,write,sequential,128,1048576,14336,14336,1873596,228,533.733
PMEM,nt,write,sequential,128,1052672,14336,14280,3176249,387,314.837
PMEM,nt,write,sequential,256,131072,14336,114688,1709197,417,585.07
PMEM,nt,write,sequential,256,135168,14336,111212,2860835,698,349.548
PMEM,nt,write,sequential,256,1048576,14336,14336,1699436,414,588.43
PMEM,nt,write,sequential,256,1052672,14336,14280,2997628,731,333.597
PMEM,nt,write,sequential,512,131072,14336,114688,1537275,750,650.502
PMEM,nt,write,sequential,512,135168,14336,111212,2679612,1308,373.188
PMEM,nt,write,sequential,512,1048576,14336,14336,1513100,738,660.895
PMEM,nt,write,sequential,512,1052672,14336,14280,2700974,1318,370.237
PMEM,nt,write,sequential,1024,131072,14336,114688,1275686,1245,783.892
PMEM,nt,write,sequential,1024,135168,14336,111212,2257807,2204,442.908
PMEM,nt,write,sequential,1024,1048576,14336,14336,1260493,1230,793.34
PMEM,nt,write,sequential,1024,1052672,14336,14280,2298667,2244,435.035
PMEM,nt,write,sequential,2048,131072,14336,114688,696679,1360,1435.38
PMEM,nt,write,sequential,2048,135168,14336,111212,1269927,2480,787.447
PMEM,nt,write,sequential,2048,1048576,14336,14336,698594,1364,1431.44
PMEM,nt,write,sequential,2048,1052672,14336,14280,1272053,2484,786.13
PMEM,nt,write,sequential,4096,131072,14336,114688,633678,2475,1578.09
PMEM,nt,write,sequential,4096,135168,14336,111212,793990,3101,1259.46
PMEM,nt,write,sequential,4096,1048576,14336,14336,599008,2339,1669.43
PMEM,nt,write,sequential,4096,1052672,14336,14280,769174,3004,1300.1
PMEM,nt,write,sequential,8192,131072,14336,114688,412197,3220,2426.02
PMEM,nt,write,sequential,8192,135168,14336,111212,394082,3078,2537.54
PMEM,nt,write,sequential,8192,1048576,14336,14336,441470,3448,2265.16
PMEM,nt,write,sequential,8192,1052672,14336,14280,421650,3294,2371.63
PMEM,nt,write,sequential,16384,131072,14336,114688,230928,3608,4330.34
PMEM,nt,write,sequential,16384,135168,14336,111212,230515,3601,4338.1
PMEM,nt,write,sequential,16384,1048576,14336,14336,246473,3851,4057.24
PMEM,nt,write,sequential,16384,1052672,14336,14280,234839,3669,4258.23
PMEM,nt,write,sequential,32768,131072,14336,114688,122172,3817,8185.12
PMEM,nt,write,sequential,32768,135168,14336,111212,111043,3470,9005.51
PMEM,nt,write,sequential,32768,1048576,14336,14336,124500,3890,8032.13
PMEM,nt,write,sequential,32768,1052672,14336,14280,120868,3777,8273.42
PMEM,nt,write,sequential,65536,131072,14336,114688,63031,3939,15865.1
PMEM,nt,write,sequential,65536,135168,14336,111212,60578,3786,16507.6
PMEM,nt,write,sequential,65536,1048576,14336,14336,65147,4071,15349.8
PMEM,nt,write,sequential,65536,1052672,14336,14280,65851,4115,15185.7
PMEM,t,write,sequential,8,131072,14336,114688,1589038,12,629.311
PMEM,t,write,sequential,8,135168,14336,111212,2660086,20,375.928
PMEM,t,write,sequential,8,1048576,14336,14336,1589021,12,629.318
PMEM,t,write,sequential,8,1052672,14336,14280,2660300,20,375.897
PMEM,t,write,sequential,16,131072,14336,114688,1588422,24,629.556
PMEM,t,write,sequential,16,135168,14336,111212,2660135,40,375.921
PMEM,t,write,sequential,16,1048576,14336,14336,1585685,24,630.642
PMEM,t,write,sequential,16,1052672,14336,14280,2660094,40,375.926
PMEM,t,write,sequential,32,131072,14336,114688,1589862,48,628.985
PMEM,t,write,sequential,32,135168,14336,111212,2659733,81,375.978
PMEM,t,write,sequential,32,1048576,14336,14336,1582316,48,631.985
PMEM,t,write,sequential,32,1052672,14336,14280,2663637,81,375.426
PMEM,t,write,sequential,64,131072,14336,114688,1921844,117,520.333
PMEM,t,write,sequential,64,135168,14336,111212,3165430,193,315.913
PMEM,t,write,sequential,64,1048576,14336,14336,1916251,116,521.852
PMEM,t,write,sequential,64,1052672,14336,14280,3109775,189,321.567
PMEM,t,write,sequential,128,131072,14336,114688,1888828,230,529.429
PMEM,t,write,sequential,128,135168,14336,111212,2582490,315,387.223
PMEM,t,write,sequential,128,1048576,14336,14336,1888560,230,529.504
PMEM,t,write,sequential,128,1052672,14336,14280,2596280,316,385.166
PMEM,t,write,sequential,256,131072,14336,114688,1616266,394,618.71
PMEM,t,write,sequential,256,135168,14336,111212,2400502,586,416.579
PMEM,t,write,sequential,256,1048576,14336,14336,1590045,388,628.913
PMEM,t,write,sequential,256,1052672,14336,14280,2366297,577,422.601
PMEM,t,write,sequential,512,131072,14336,114688,1185153,578,843.773
PMEM,t,write,sequential,512,135168,14336,111212,1515513,739,659.842
PMEM,t,write,sequential,512,1048576,14336,14336,1187749,579,841.929
PMEM,t,write,sequential,512,1052672,14336,14280,1569959,766,636.959
PMEM,t,write,sequential,1024,131072,14336,114688,859358,839,1163.66
PMEM,t,write,sequential,1024,135168,14336,111212,1175408,1147,850.768
PMEM,t,write,sequential,1024,1048576,14336,14336,865521,845,1155.37
PMEM,t,write,sequential,1024,1052672,14336,14280,1180766,1153,846.907
PMEM,t,write,sequential,2048,131072,14336,114688,538709,1052,1856.29
PMEM,t,write,sequential,2048,135168,14336,111212,748731,1462,1335.59
PMEM,t,write,sequential,2048,1048576,14336,14336,538620,1051,1856.59
PMEM,t,write,sequential,2048,1052672,14336,14280,753962,1472,1326.33
PMEM,t,write,sequential,4096,131072,14336,114688,373012,1457,2680.87
PMEM,t,write,sequential,4096,135168,14336,111212,430685,1682,2321.88
PMEM,t,write,sequential,4096,1048576,14336,14336,371900,1452,2688.89
PMEM,t,write,sequential,4096,1052672,14336,14280,428837,1675,2331.89
PMEM,t,write,sequential,8192,131072,14336,114688,226775,1771,4409.65
PMEM,t,write,sequential,8192,135168,14336,111212,205117,1602,4875.24
PMEM,t,write,sequential,8192,1048576,14336,14336,218294,1705,4580.96
PMEM,t,write,sequential,8192,1052672,14336,14280,204791,1599,4883.01
PMEM,t,write,sequential,16384,131072,14336,114688,117871,1841,8483.82
PMEM,t,write,sequential,16384,135168,14336,111212,112111,1751,8919.71
PMEM,t,write,sequential,16384,1048576,14336,14336,116910,1826,8553.53
PMEM,t,write,sequential,16384,1052672,14336,14280,112222,1753,8910.89
PMEM,t,write,sequential,32768,131072,14336,114688,59769,1867,16731
PMEM,t,write,sequential,32768,135168,14336,111212,58320,1822,17146.5
PMEM,t,write,sequential,32768,1048576,14336,14336,59402,1856,16834.2
PMEM,t,write,sequential,32768,1052672,14336,14280,58369,1824,17132.1
PMEM,t,write,sequential,65536,131072,14336,114688,28639,1789,34916.5
PMEM,t,write,sequential,65536,135168,14336,111212,28301,1768,35333.7
PMEM,t,write,sequential,65536,1048576,14336,14336,28590,1786,34976.8
