platform,flush_type,operation,access_pattern,io_size(B),blcok_size(B),data_space_size(MB),count,throughput(op/s),bandwidth(MB),avg_latency(ns)
PMEM,nt,write,sequential,8,131072,14336,114688,1389812,10,719.522
PMEM,nt,write,sequential,8,135168,14336,111168,1623333,12,616.016
PMEM,nt,write,sequential,8,1048576,14336,14336,1394283,10,717.214
PMEM,nt,write,sequential,8,1052672,14336,14272,1648938,12,606.451
PMEM,nt,write,sequential,16,131072,14336,114688,1383809,21,722.643
PMEM,nt,write,sequential,16,135168,14336,111168,1648192,25,606.725
PMEM,nt,write,sequential,16,1048576,14336,14336,1393471,21,717.632
PMEM,nt,write,sequential,16,1052672,14336,14272,1630751,24,613.214
PMEM,nt,write,sequential,32,131072,14336,114688,1385593,42,721.712
PMEM,nt,write,sequential,32,135168,14336,111168,1614452,49,619.405
PMEM,nt,write,sequential,32,1048576,14336,14336,1394476,42,717.115
PMEM,nt,write,sequential,32,1052672,14336,14272,1635689,49,611.363
PMEM,nt,write,sequential,64,131072,14336,114688,1962630,119,509.52
PMEM,nt,write,sequential,64,135168,14336,111168,3017141,184,331.44
PMEM,nt,write,sequential,64,1048576,14336,14336,1929199,117,518.35
PMEM,nt,write,sequential,64,1052672,14336,14272,3174287,193,315.031
PMEM,nt,write,sequential,128,131072,14336,114688,1932202,235,517.544
PMEM,nt,write,sequential,128,135168,14336,111168,2921658,356,342.271
PMEM,nt,write,sequential,128,1048576,14336,14336,1921209,234,520.505
PMEM,nt,write,sequential,128,1052672,14336,14272,3089927,377,323.632
PMEM,nt,write,sequential,256,131072,14336,114688,1728735,422,578.457
PMEM,nt,write,sequential,256,135168,14336,111168,2813279,686,355.457
PMEM,nt,write,sequential,256,1048576,14336,14336,1711327,417,584.342
PMEM,nt,write,sequential,256,1052672,14336,14272,2925141,714,341.864
PMEM,nt,write,sequential,512,131072,14336,114688,1546044,754,646.812
PMEM,nt,write,sequential,512,135168,14336,111168,2666670,1302,374.999
PMEM,nt,write,sequential,512,1048576,14336,14336,1530982,747,653.176
PMEM,nt,write,sequential,512,1052672,14336,14272,2697796,1317,370.673
PMEM,nt,write,sequential,1024,131072,14336,114688,1277821,1247,782.582
PMEM,nt,write,sequential,1024,135168,14336,111168,2250455,2197,444.354
PMEM,nt,write,sequential,1024,1048576,14336,14336,1274752,1244,784.466
PMEM,nt,write,sequential,1024,1052672,14336,14272,2217640,2165,450.93
PMEM,nt,write,sequential,2048,131072,14336,114688,702327,1371,1423.84
PMEM,nt,write,sequential,2048,135168,14336,111168,1256508,2454,795.856
PMEM,nt,write,sequential,2048,1048576,14336,14336,700189,1367,1428.19
PMEM,nt,write,sequential,2048,1052672,14336,14272,1266750,2474,789.422
PMEM,nt,write,sequential,4096,131072,14336,114688,635494,2482,1573.58
PMEM,nt,write,sequential,4096,135168,14336,111168,803594,3139,1244.41
PMEM,nt,write,sequential,4096,1048576,14336,14336,635794,2483,1572.83
PMEM,nt,write,sequential,4096,1052672,14336,14272,808590,3158,1236.72
PMEM,nt,write,sequential,8192,131072,14336,114688,442773,3459,2258.49
PMEM,nt,write,sequential,8192,135168,14336,111168,416371,3252,2401.7
PMEM,nt,write,sequential,8192,1048576,14336,14336,444579,3473,2249.32
PMEM,nt,write,sequential,8192,1052672,14336,14272,419712,3279,2382.58
PMEM,nt,write,sequential,16384,131072,14336,114688,211005,3296,4739.21
PMEM,nt,write,sequential,16384,135168,14336,111168,211667,3307,4724.39
PMEM,nt,write,sequential,16384,1048576,14336,14336,244596,3821,4088.36
PMEM,nt,write,sequential,16384,1052672,14336,14272,217411,3397,4599.57
PMEM,nt,write,sequential,32768,131072,14336,114688,124372,3886,8040.37
PMEM,nt,write,sequential,32768,135168,14336,111168,127740,3991,7828.4
PMEM,nt,write,sequential,32768,1048576,14336,14336,117275,3664,8526.9
PMEM,nt,write,sequential,32768,1052672,14336,14272,113030,3532,8847.2
PMEM,nt,write,sequential,65536,131072,14336,114688,60799,3799,16447.5
PMEM,nt,write,sequential,65536,135168,14336,111168,60936,3808,16410.6
PMEM,nt,write,sequential,65536,1048576,14336,14336,64050,4003,15612.7
PMEM,nt,write,sequential,65536,1052672,14336,14272,64123,4007,15594.8
PMEM,t,write,sequential,8,131072,14336,114688,1618238,12,617.956
PMEM,t,write,sequential,8,135168,14336,111168,2609979,19,383.145
PMEM,t,write,sequential,8,1048576,14336,14336,1607508,12,622.081
PMEM,t,write,sequential,8,1052672,14336,14272,2610312,19,383.096
PMEM,t,write,sequential,16,131072,14336,114688,1619971,24,617.295
PMEM,t,write,sequential,16,135168,14336,111168,2607394,39,383.525
PMEM,t,write,sequential,16,1048576,14336,14336,1608066,24,621.865
PMEM,t,write,sequential,16,1052672,14336,14272,2608762,39,383.324
PMEM,t,write,sequential,32,131072,14336,114688,1618708,49,617.777
PMEM,t,write,sequential,32,135168,14336,111168,2612801,79,382.731
PMEM,t,write,sequential,32,1048576,14336,14336,1617035,49,618.415
PMEM,t,write,sequential,32,1052672,14336,14272,2607761,79,383.471
PMEM,t,write,sequential,64,131072,14336,114688,1958706,119,510.541
PMEM,t,write,sequential,64,135168,14336,111168,3131698,191,319.316
PMEM,t,write,sequential,64,1048576,14336,14336,1939436,118,515.614
PMEM,t,write,sequential,64,1052672,14336,14272,3123533,190,320.15
PMEM,t,write,sequential,128,131072,14336,114688,1924473,234,519.623
PMEM,t,write,sequential,128,135168,14336,111168,2535616,309,394.381
PMEM,t,write,sequential,128,1048576,14336,14336,1925881,235,519.243
PMEM,t,write,sequential,128,1052672,14336,14272,2544001,310,393.082
PMEM,t,write,sequential,256,131072,14336,114688,1630580,398,613.279
PMEM,t,write,sequential,256,135168,14336,111168,2380383,581,420.1
PMEM,t,write,sequential,256,1048576,14336,14336,1612439,393,620.178
PMEM,t,write,sequential,256,1052672,14336,14272,2355160,574,424.599
PMEM,t,write,sequential,512,131072,14336,114688,1212785,592,824.548
PMEM,t,write,sequential,512,135168,14336,111168,1492586,728,669.978
PMEM,t,write,sequential,512,1048576,14336,14336,1213422,592,824.115
PMEM,t,write,sequential,512,1052672,14336,14272,1524211,744,656.077
PMEM,t,write,sequential,1024,131072,14336,114688,864774,844,1156.37
PMEM,t,write,sequential,1024,135168,14336,111168,1180241,1152,847.284
PMEM,t,write,sequential,1024,1048576,14336,14336,867046,846,1153.34
PMEM,t,write,sequential,1024,1052672,14336,14272,1184619,1156,844.153
PMEM,t,write,sequential,2048,131072,14336,114688,543055,1060,1841.43
PMEM,t,write,sequential,2048,135168,14336,111168,753776,1472,1326.65
PMEM,t,write,sequential,2048,1048576,14336,14336,541098,1056,1848.09
PMEM,t,write,sequential,2048,1052672,14336,14272,751348,1467,1330.94
PMEM,t,write,sequential,4096,131072,14336,114688,373509,1459,2677.3
PMEM,t,write,sequential,4096,135168,14336,111168,428812,1675,2332.02
PMEM,t,write,sequential,4096,1048576,14336,14336,372860,1456,2681.96
PMEM,t,write,sequential,4096,1052672,14336,14272,423451,1654,2361.55
PMEM,t,write,sequential,8192,131072,14336,114688,227701,1778,4391.71
PMEM,t,write,sequential,8192,135168,14336,111168,204154,1594,4898.26
PMEM,t,write,sequential,8192,1048576,14336,14336,220528,1722,4534.56
PMEM,t,write,sequential,8192,1052672,14336,14272,204774,1599,4883.42
PMEM,t,write,sequential,16384,131072,14336,114688,118409,1850,8445.3
PMEM,t,write,sequential,16384,135168,14336,111168,112164,1752,8915.48
PMEM,t,write,sequential,16384,1048576,14336,14336,117529,1836,8508.47
PMEM,t,write,sequential,16384,1052672,14336,14272,112594,1759,8881.42
PMEM,t,write,sequential,32768,131072,14336,114688,59767,1867,16731.4
PMEM,t,write,sequential,32768,135168,14336,111168,58482,1827,17099.3
PMEM,t,write,sequential,32768,1048576,14336,14336,59365,1855,16844.7
PMEM,t,write,sequential,32768,1052672,14336,14272,58276,1821,17159.7
PMEM,t,write,sequential,65536,131072,14336,114688,28695,1793,34848.6
PMEM,t,write,sequential,65536,135168,14336,111168,28269,1766,35374.2
PMEM,t,write,sequential,65536,1048576,14336,14336,28574,1785,34996.8
PMEM,t,write,sequential,65536,1052672,14336,14272,28255,1765,35391.1
PMEM,nt,write,random,8,131072,14336,114688,1461078,11,684.426
PMEM,nt,write,random,8,135168,14336,111168,1659149,12,602.719
PMEM,nt,write,random,8,1048576,14336,14336,1453412,11,688.036
PMEM,nt,write,random,8,1052672,14336,14272,1698812,12,588.646
PMEM,nt,write,random,16,131072,14336,114688,1458061,22,685.842
PMEM,nt,write,random,16,135168,14336,111168,1665874,25,600.285
PMEM,nt,write,random,16,1048576,14336,14336,1463399,22,683.34
PMEM,nt,write,random,16,1052672,14336,14272,1716493,26,582.583
PMEM,nt,write,random,32,131072,14336,114688,1459036,44,685.384
PMEM,nt,write,random,32,135168,14336,111168,1657504,50,603.316
PMEM,nt,write,random,32,1048576,14336,14336,1463843,44,683.133
PMEM,nt,write,random,32,1052672,14336,14272,1713426,52,583.626
PMEM,nt,write,random,64,131072,14336,114688,1960775,119,510.002
PMEM,nt,write,random,64,135168,14336,111168,3031375,185,329.883
PMEM,nt,write,random,64,1048576,14336,14336,1930276,117,518.061
PMEM,nt,write,random,64,1052672,14336,14272,3146016,192,317.862
PMEM,nt,write,random,128,131072,14336,114688,1920988,234,520.565
PMEM,nt,write,random,128,135168,14336,111168,2908097,354,343.867
PMEM,nt,write,random,128,1048576,14336,14336,1887556,230,529.785
PMEM,nt,write,random,128,1052672,14336,14272,2993562,365,334.05
PMEM,nt,write,random,256,131072,14336,114688,1723052,420,580.365
PMEM,nt,write,random,256,135168,14336,111168,2811170,686,355.724
PMEM,nt,write,random,256,1048576,14336,14336,1706947,416,585.841
PMEM,nt,write,random,256,1052672,14336,14272,2807659,685,356.169
PMEM,nt,write,random,512,131072,14336,114688,1550038,756,645.145
PMEM,nt,write,random,512,135168,14336,111168,2515840,1228,397.481
PMEM,nt,write,random,512,1048576,14336,14336,1540405,752,649.18
PMEM,nt,write,random,512,1052672,14336,14272,2579386,1259,387.689
PMEM,nt,write,random,1024,131072,14336,114688,1284503,1254,778.511
PMEM,nt,write,random,1024,135168,14336,111168,2002666,1955,499.334
PMEM,nt,write,random,1024,1048576,14336,14336,1288480,1258,776.108
PMEM,nt,write,random,1024,1052672,14336,14272,2033402,1985,491.787
PMEM,nt,write,random,2048,131072,14336,114688,702507,1372,1423.47
PMEM,nt,write,random,2048,135168,14336,111168,1063026,2076,940.71
PMEM,nt,write,random,2048,1048576,14336,14336,706510,1379,1415.41
PMEM,nt,write,random,2048,1052672,14336,14272,1069081,2088,935.382
PMEM,nt,write,random,4096,131072,14336,114688,635897,2483,1572.58
PMEM,nt,write,random,4096,135168,14336,111168,698090,2726,1432.48
PMEM,nt,write,random,4096,1048576,14336,14336,630798,2464,1585.29
PMEM,nt,write,random,4096,1052672,14336,14272,711811,2780,1404.87
PMEM,nt,write,random,8192,131072,14336,114688,442052,3453,2262.18
PMEM,nt,write,random,8192,135168,14336,111168,431209,3368,2319.06
