268435456
op,block_size,count,data_space_size,io_size(Bytes),avg_latency(ns),throughput,bandwidth(MB)
write,seq,32,8192,262144,32,699.607,1429374,43
read,seq,32,8192,262144,32,217.403,4599758,140
write,seq,64,8192,524288,32,162.622,6149226,187
read,seq,64,8192,524288,32,236.557,4227304,129
write,seq,128,8192,1048576,32,189.263,5283644,161
read,seq,128,8192,1048576,32,274.215,3646770,111
write,seq,256,8192,2097152,32,240.028,4166185,127
read,seq,256,8192,2097152,32,232.593,4299355,131
write,seq,512,8192,4194304,32,231.939,4311481,131
read,seq,512,8192,4194304,32,262.903,3803684,116
write,seq,1024,8192,8388608,32,270.38,3698503,112
read,seq,1024,8192,8388608,32,313.535,3189433,97
write,seq,2048,8192,16777216,32,403.396,2478952,75
read,seq,2048,8192,16777216,32,275.536,3629294,110
write,seq,4096,8192,33554432,32,352.266,2838761,86
read,seq,4096,8192,33554432,32,254.016,3936761,120
write,seq,8192,8192,67108864,32,787.985,1269059,38
read,seq,8192,8192,67108864,32,267.422,3739406,114
write,seq,16384,8192,134217728,32,645.648,1548830,47
read,seq,16384,8192,134217728,32,265.809,3762100,114
write,seq,32768,8192,268435456,32,789.792,1266155,38
read,seq,32768,8192,268435456,32,238.378,4195021,128
write,seq,65536,8192,536870912,32,757.352,1320390,40
read,seq,65536,8192,536870912,32,240.698,4154585,126
write,seq,131072,8192,1073741824,32,692.854,1443304,44
read,seq,131072,8192,1073741824,32,238.799,4187616,127
write,seq,262144,8192,2147483648,32,684.251,1461451,44
read,seq,262144,8192,2147483648,32,251.589,3974744,121
write,seq,524288,8192,4294967296,32,688.849,1451696,44
read,seq,524288,8192,4294967296,32,250.8,3987245,121
write,seq,1048576,8192,8589934592,32,632.531,1580948,48
read,seq,1048576,8192,8589934592,32,261.155,3829141,116
write,random,32,8192,262144,32,226.862,4407967,134
read,random,32,8192,262144,32,284.62,3513453,107
write,random,64,8192,524288,32,239.668,4172441,127
read,random,64,8192,524288,32,285.293,3505170,106
write,random,128,8192,1048576,32,242.998,4115261,125
read,random,128,8192,1048576,32,258.198,3872994,118
write,random,256,8192,2097152,32,238.915,4185586,127
read,random,256,8192,2097152,32,251.432,3977212,121
write,random,512,8192,4194304,32,248.365,4026332,122
read,random,512,8192,4194304,32,277.614,3602120,109
write,random,1024,8192,8388608,32,295.35,3385815,103
read,random,1024,8192,8388608,32,258.927,3862099,117
write,random,2048,8192,16777216,32,404.649,2471275,75
read,random,2048,8192,16777216,32,267.693,3735627,114
write,random,4096,8192,33554432,32,405.964,2463274,75
read,random,4096,8192,33554432,32,255.894,3907869,119
write,random,8192,8192,67108864,32,790.921,1264349,38
read,random,8192,8192,67108864,32,250.005,3999919,122
write,random,16384,8192,134217728,32,801.777,1247229,38
read,random,16384,8192,134217728,32,243.071,4114019,125
write,random,32768,8192,268435456,32,757.507,1320119,40
read,random,32768,8192,268435456,32,237.813,4204982,128
write,random,65536,8192,536870912,32,730.939,1368103,41
read,random,65536,8192,536870912,32,220.174,4541870,138
write,random,131072,8192,1073741824,32,684.312,1461320,44
read,random,131072,8192,1073741824,32,226.6,4413053,134
write,random,262144,8192,2147483648,32,662.215,1510083,46
read,random,262144,8192,2147483648,32,218.063,4585836,139
write,random,524288,8192,4294967296,32,673.816,1484085,45
read,random,524288,8192,4294967296,32,232.338,4304076,131
write,random,1048576,8192,8589934592,32,683.077,1463963,44
read,random,1048576,8192,8589934592,32,237.18,4216210,128
