268435456
block_size,count,data_space_size,io_size(Bytes),write_avg_latency(ns),throughput,bandwidth(MB)
32,8192,262144,32,201.919,4952470,151
block_size,count,data_space_size,io_size(Bytes),read_avg_latency(ns),throughput,bandwidth(MB)
32,8192,262144,32,190.225,5256936,160
block_size,count,data_space_size,io_size(Bytes),write_avg_latency(ns),throughput,bandwidth(MB)
64,8192,524288,32,233.307,4286188,130
block_size,count,data_space_size,io_size(Bytes),read_avg_latency(ns),throughput,bandwidth(MB)
64,8192,524288,32,266.044,3758775,114
block_size,count,data_space_size,io_size(Bytes),write_avg_latency(ns),throughput,bandwidth(MB)
128,8192,1048576,32,238.862,4186523,127
block_size,count,data_space_size,io_size(Bytes),read_avg_latency(ns),throughput,bandwidth(MB)
128,8192,1048576,32,289.249,3457228,105
block_size,count,data_space_size,io_size(Bytes),write_avg_latency(ns),throughput,bandwidth(MB)
256,8192,2097152,32,243.002,4115197,125
block_size,count,data_space_size,io_size(Bytes),read_avg_latency(ns),throughput,bandwidth(MB)
256,8192,2097152,32,261.777,3820047,116
block_size,count,data_space_size,io_size(Bytes),write_avg_latency(ns),throughput,bandwidth(MB)
512,8192,4194304,32,245.743,4069289,124
block_size,count,data_space_size,io_size(Bytes),read_avg_latency(ns),throughput,bandwidth(MB)
512,8192,4194304,32,273.992,3649742,111
block_size,count,data_space_size,io_size(Bytes),write_avg_latency(ns),throughput,bandwidth(MB)
1024,8192,8388608,32,301.278,3319191,101
block_size,count,data_space_size,io_size(Bytes),read_avg_latency(ns),throughput,bandwidth(MB)
1024,8192,8388608,32,291.057,3435747,104
block_size,count,data_space_size,io_size(Bytes),write_avg_latency(ns),throughput,bandwidth(MB)
2048,8192,16777216,32,407.549,2453690,74
block_size,count,data_space_size,io_size(Bytes),read_avg_latency(ns),throughput,bandwidth(MB)
2048,8192,16777216,32,263.793,3790855,115
block_size,count,data_space_size,io_size(Bytes),write_avg_latency(ns),throughput,bandwidth(MB)
4096,8192,33554432,32,416.647,2400113,73
block_size,count,data_space_size,io_size(Bytes),read_avg_latency(ns),throughput,bandwidth(MB)
4096,8192,33554432,32,214.203,4668457,142
block_size,count,data_space_size,io_size(Bytes),write_avg_latency(ns),throughput,bandwidth(MB)
8192,8192,67108864,32,787.642,1269611,38
block_size,count,data_space_size,io_size(Bytes),read_avg_latency(ns),throughput,bandwidth(MB)
8192,8192,67108864,32,247.599,4038790,123
block_size,count,data_space_size,io_size(Bytes),write_avg_latency(ns),throughput,bandwidth(MB)
16384,8192,134217728,32,811.247,1232670,37
block_size,count,data_space_size,io_size(Bytes),read_avg_latency(ns),throughput,bandwidth(MB)
16384,8192,134217728,32,244.329,4092836,124
block_size,count,data_space_size,io_size(Bytes),write_avg_latency(ns),throughput,bandwidth(MB)
32768,8192,268435456,32,791.236,1263845,38
block_size,count,data_space_size,io_size(Bytes),read_avg_latency(ns),throughput,bandwidth(MB)
32768,8192,268435456,32,218.375,4579271,139
block_size,count,data_space_size,io_size(Bytes),write_avg_latency(ns),throughput,bandwidth(MB)
65536,8192,536870912,32,864.294,1157013,35
block_size,count,data_space_size,io_size(Bytes),read_avg_latency(ns),throughput,bandwidth(MB)
65536,8192,536870912,32,227.403,4397470,134
block_size,count,data_space_size,io_size(Bytes),write_avg_latency(ns),throughput,bandwidth(MB)
131072,8192,1073741824,32,801.224,1248089,38
block_size,count,data_space_size,io_size(Bytes),read_avg_latency(ns),throughput,bandwidth(MB)
131072,8192,1073741824,32,218.052,4586059,139
block_size,count,data_space_size,io_size(Bytes),write_avg_latency(ns),throughput,bandwidth(MB)
262144,8192,2147483648,32,816.915,1224117,37
block_size,count,data_space_size,io_size(Bytes),read_avg_latency(ns),throughput,bandwidth(MB)
262144,8192,2147483648,32,268.465,3724879,113
block_size,count,data_space_size,io_size(Bytes),write_avg_latency(ns),throughput,bandwidth(MB)
524288,8192,4294967296,32,819.665,1220010,37
block_size,count,data_space_size,io_size(Bytes),read_avg_latency(ns),throughput,bandwidth(MB)
524288,8192,4294967296,32,232.018,4310004,131
block_size,count,data_space_size,io_size(Bytes),write_avg_latency(ns),throughput,bandwidth(MB)
1048576,8192,8589934592,32,814.518,1227720,37
block_size,count,data_space_size,io_size(Bytes),read_avg_latency(ns),throughput,bandwidth(MB)
1048576,8192,8589934592,32,252.216,3964852,120
