268435456
block_size,count,data_space_size,io_size(Bytes),write_avg_latency(ns),throughput,bandwidth(MB)
32,8192,262144,32,162.391,6157967,187
64,8192,524288,32,167.061,5985823,182
128,8192,1048576,32,195.414,5117348,156
256,8192,2097152,32,278.639,3588874,109
256,8192,2097152,32,261.401,3825538,116
512,8192,4194304,32,237.313,4213850,128
1024,8192,8388608,32,279.656,3575816,109
2048,8192,16777216,32,268.59,3723145,113
4096,8192,33554432,32,262.444,3810335,116
8192,8192,67108864,32,234.735,4260125,130
16384,8192,134217728,32,222.114,4502197,137
32768,8192,268435456,32,219.887,4547788,138
65536,8192,536870912,32,214.808,4655325,142
131072,8192,1073741824,32,222.023,4504041,137
262144,8192,2147483648,32,267.909,3732616,113
524288,8192,4294967296,32,232.635,4298570,131
1048576,8192,8589934592,32,247.934,4033326,123
32,8192,262144,32,671.077,1490142,45
64,8192,524288,32,197.672,5058876,154
128,8192,1048576,32,287.619,3476824,106
512,8192,4194304,32,230.669,4335214,132
1024,8192,8388608,32,268.032,3730903,113
2048,8192,16777216,32,356.291,2806695,85
4096,8192,33554432,32,407.312,2455122,74
8192,8192,67108864,32,645.469,1549261,47
16384,8192,134217728,32,810.961,1233105,37
32768,8192,268435456,32,795.653,1256828,38
65536,8192,536870912,32,755.409,1323785,40
131072,8192,1073741824,32,697.202,1434303,43
262144,8192,2147483648,32,677.021,1477058,45
524288,8192,4294967296,32,699.769,1429042,43
1048576,8192,8589934592,32,706.35,1415729,43
