platform,operation,access_pattern,io_size(B),blcok_size(B),data_space_size(MB),count,throughput(op/s),bandwidth(MB),avg_latency(ns)
PMEM,write,sequential,8,131072,8192,65536,1521670,11,657.173
PMEM,write,sequential,8,135168,8192,63550,2600789,19,384.499
PMEM,write,sequential,16,131072,8192,65536,1521558,23,657.221
PMEM,write,sequential,16,135168,8192,63550,2595251,39,385.319
PMEM,write,sequential,32,131072,8192,65536,1521290,46,657.337
PMEM,write,sequential,32,135168,8192,63550,2593511,79,385.578
PMEM,write,sequential,64,131072,8192,65536,1842820,112,542.646
PMEM,write,sequential,64,135168,8192,63550,3095146,188,323.087
PMEM,write,sequential,128,131072,8192,65536,1811007,221,552.179
PMEM,write,sequential,128,135168,8192,63550,2556517,312,391.157
PMEM,write,sequential,256,131072,8192,65536,1581042,385,632.494
PMEM,write,sequential,256,135168,8192,63550,2353172,574,424.958
PMEM,write,sequential,512,131072,8192,65536,1171714,572,853.45
PMEM,write,sequential,512,135168,8192,63550,1492447,728,670.04
PMEM,write,sequential,1024,131072,8192,65536,854757,834,1169.92
PMEM,write,sequential,1024,135168,8192,63550,1172909,1145,852.58
PMEM,write,sequential,2048,131072,8192,65536,538978,1052,1855.36
PMEM,write,sequential,2048,135168,8192,63550,740162,1445,1351.05
PMEM,write,sequential,4096,131072,8192,65536,370883,1448,2696.26
PMEM,write,sequential,4096,135168,8192,63550,413284,1614,2419.64
PMEM,write,sequential,8192,131072,8192,65536,221232,1728,4520.12
PMEM,write,sequential,8192,135168,8192,63550,203444,1589,4915.34
PMEM,write,sequential,16384,131072,8192,65536,117122,1830,8538.09
PMEM,write,sequential,16384,135168,8192,63550,110851,1732,9021.06
PMEM,write,sequential,32768,131072,8192,65536,58748,1835,17021.7
PMEM,write,sequential,32768,135168,8192,63550,57748,1804,17316.3
PMEM,write,sequential,65536,131072,8192,65536,28334,1770,35293
PMEM,write,sequential,65536,135168,8192,63550,28853,1803,34658.1
PMEM,write,random,8,131072,8192,65536,1522730,11,656.715
PMEM,write,random,8,135168,8192,63550,2593837,19,385.529
PMEM,write,random,16,131072,8192,65536,1524012,23,656.163
PMEM,write,random,16,135168,8192,63550,2578365,39,387.843
PMEM,write,random,32,131072,8192,65536,1522391,46,656.861
PMEM,write,random,32,135168,8192,63550,2582523,78,387.218
PMEM,write,random,64,131072,8192,65536,1839109,112,543.741
PMEM,write,random,64,135168,8192,63550,3072281,187,325.491
PMEM,write,random,128,131072,8192,65536,1791363,218,558.234
PMEM,write,random,128,135168,8192,63550,2496052,304,400.633
PMEM,write,random,256,131072,8192,65536,1574279,384,635.211
PMEM,write,random,256,135168,8192,63550,2253525,550,443.749
PMEM,write,random,512,131072,8192,65536,1187910,580,841.814
PMEM,write,random,512,135168,8192,63550,1518210,741,658.67
PMEM,write,random,1024,131072,8192,65536,868846,848,1150.95
PMEM,write,random,1024,135168,8192,63550,1152018,1125,868.042
PMEM,write,random,2048,131072,8192,65536,534166,1043,1872.08
PMEM,write,random,2048,135168,8192,63550,669903,1308,1492.75
PMEM,write,random,4096,131072,8192,65536,370325,1446,2700.33
PMEM,write,random,4096,135168,8192,63550,382848,1495,2612
PMEM,write,random,8192,131072,8192,65536,222725,1740,4489.84
PMEM,write,random,8192,135168,8192,63550,212114,1657,4714.43
PMEM,write,random,16384,131072,8192,65536,116087,1813,8614.18
PMEM,write,random,16384,135168,8192,63550,113318,1770,8824.65
PMEM,write,random,32768,131072,8192,65536,58930,1841,16969.1
